ts,symbol,oi_long_usd,oi_short_usd,liquidity_usd
1768308630023934000,ETH-USD,0,0,1000000000000000
1768308632023934000,ETH-USD,3982740622,5386424151,1000000000000000
1768308634023934000,ETH-USD,8085412956,7035322611,1000000000000000
1768308636023934000,ETH-USD,11844813670,12898973027,1000000000000000
1768308638023934000,ETH-USD,11844813670,17067368841,1000000000000000
1768308640023934000,ETH-USD,17892309814,17067368841,1000000000000000
1768308642023934000,ETH-USD,23396142917,22611286495,1000000000000000
1768308644023934000,ETH-USD,23484472715,22802975161,1000000000000000
1768308646023934000,ETH-USD,23941766711,21956756308,1000000000000000
1768308648023934000,ETH-USD,23941766711,22694656684,1000000000000000
1768308650023934000,ETH-USD,23889187424,22514298100,1000000000000000
1768308652023934000,ETH-USD,23814041708,22666550539,1000000000000000
1768308654023934000,ETH-USD,33629698880,31135451941,1000000000000000
1768308656023934000,ETH-USD,33226307585,30448935079,1000000000000000
1768308658023934000,ETH-USD,47074758785,43000738276,1000000000000000
1768308660023934000,ETH-USD,47074758785,43000738276,1000000000000000
1768308662023934000,ETH-USD,44733063304,42108107341,1000000000000000
1768308664023934000,ETH-USD,47490725678,42338383000,1000000000000000
1768308666023934000,ETH-USD,47490725678,42338383000,1000000000000000
1768308668023934000,ETH-USD,46757217134,41623039912,1000000000000000
1768308670023934000,ETH-USD,46824858470,41871704470,1000000000000000
1768308672023934000,ETH-USD,47461270709,42062756737,1000000000000000
1768308674023934000,ETH-USD,47158728725,42997330615,1000000000000000
1768308676023934000,ETH-USD,47158728725,42997330615,1000000000000000
1768308678023934000,ETH-USD,45406814766,42648436363,1000000000000000
1768308680023934000,ETH-USD,45406814766,40999537903,1000000000000000
1768308682023934000,ETH-USD,47098067766,43747824027,1000000000000000
1768308684023934000,ETH-USD,47485185855,43812979821,1000000000000000
1768308686023934000,ETH-USD,47485185855,43812979821,1000000000000000
1768308688023934000,ETH-USD,43039260605,40023169456,1000000000000000
1768308690023934000,ETH-USD,44208708104,40023169456,1000000000000000
1768308692023934000,ETH-USD,47457407228,43265291632,1000000000000000
1768308694023934000,ETH-USD,44948072900,41042859961,1000000000000000
1768308696023934000,ETH-USD,43294816499,40775018762,1000000000000000
1768308698023934000,ETH-USD,45787490494,43279279307,1000000000000000
1768308700023934000,ETH-USD,45787490494,43279279307,1000000000000000
1768308702023934000,ETH-USD,45787490494,43279279307,1000000000000000
1768308704023934000,ETH-USD,45394782379,43319330414,1000000000000000
1768308706023934000,ETH-USD,46274088970,43319330414,1000000000000000
1768308708023934000,ETH-USD,45653210239,42364676714,1000000000000000
1768308710023934000,ETH-USD,46596393850,43061093057,1000000000000000
1768308712023934000,ETH-USD,46596393850,43061093057,1000000000000000
1768308714023934000,ETH-USD,46596393850,42539395154,1000000000000000
1768308716023934000,ETH-USD,46275640711,42853111835,1000000000000000
1768308718023934000,ETH-USD,46275640711,42853111835,1000000000000000
1768308720023934000,ETH-USD,46275640711,42853111835,1000000000000000
1768308722023934000,ETH-USD,46275640711,42853111835,1000000000000000
1768308724023934000,ETH-USD,46387115476,42178208543,1000000000000000
1768308726023934000,ETH-USD,41726217783,36116664386,1000000000000000
1768308728023934000,ETH-USD,40751361693,37391512466,1000000000000000
1768308730023934000,ETH-USD,40751361693,37391512466,1000000000000000
1768308732023934000,ETH-USD,40751361693,37391512466,1000000000000000
1768308734023934000,ETH-USD,45621771633,42681353596,1000000000000000
1768308736023934000,ETH-USD,44694664284,42574942006,1000000000000000
1768308738023934000,ETH-USD,45579226311,43021918147,1000000000000000
1768308740023934000,ETH-USD,45553570059,43270455214,1000000000000000
1768308742023934000,ETH-USD,45553570059,43270455214,1000000000000000
1768308744023934000,ETH-USD,42304870935,40028333038,1000000000000000
1768308746023934000,ETH-USD,42322398165,39711567181,1000000000000000
1768308748023934000,ETH-USD,44861612413,44792499834,1000000000000000
1768308750023934000,ETH-USD,44540535889,44907757008,1000000000000000
1768308752023934000,ETH-USD,44540535889,44907757008,1000000000000000
1768308754023934000,ETH-USD,44540535889,44907757008,1000000000000000
1768308756023934000,ETH-USD,45004012747,45159646179,1000000000000000
1768308758023934000,ETH-USD,43111385372,43685122050,1000000000000000
1768308760023934000,ETH-USD,42653260536,45683263982,1000000000000000
1768308762023934000,ETH-USD,40312851820,40077332062,1000000000000000
1768308764023934000,ETH-USD,40672338520,38903629798,1000000000000000
1768308766023934000,ETH-USD,46637504447,43341360369,1000000000000000
1768308768023934000,ETH-USD,46747095749,43182322290,1000000000000000
1768308770023934000,ETH-USD,46747095749,43182322290,1000000000000000
1768308772023934000,ETH-USD,46429638026,42763423758,1000000000000000
1768308774023934000,ETH-USD,44448284728,40996482310,1000000000000000
1768308776023934000,ETH-USD,45126770801,42267016686,1000000000000000
1768308778023934000,ETH-USD,45299596481,42863140047,1000000000000000
1768308780023934000,ETH-USD,45299596481,42863140047,1000000000000000
1768308782023934000,ETH-USD,45299596481,42863140047,1000000000000000
1768308784023934000,ETH-USD,45003991067,42210661530,1000000000000000
1768308786023934000,ETH-USD,44407867709,42811103685,1000000000000000
1768308788023934000,ETH-USD,45608153702,43245621717,1000000000000000
1768308790023934000,ETH-USD,42633811770,41494475112,1000000000000000
1768308792023934000,ETH-USD,42633811770,41494475112,1000000000000000
1768308794023934000,ETH-USD,44502842654,44014692636,1000000000000000
1768308796023934000,ETH-USD,44502842654,44014692636,1000000000000000
1768308798023934000,ETH-USD,43621859810,43320930624,1000000000000000
1768308800023934000,ETH-USD,41763903289,39297451801,1000000000000000
1768308802023934000,ETH-USD,41316210193,39102719563,1000000000000000
1768308804023934000,ETH-USD,45820983911,41903136217,1000000000000000
1768308806023934000,ETH-USD,45820983911,41903136217,1000000000000000
1768308808023934000,ETH-USD,45820983911,41903136217,1000000000000000
1768308810023934000,ETH-USD,45846651206,42233115193,1000000000000000
1768308812023934000,ETH-USD,45846651206,42233115193,1000000000000000
1768308814023934000,ETH-USD,45846651206,42233115193,1000000000000000
1768308816023934000,ETH-USD,45427762460,41492389651,1000000000000000
1768308818023934000,ETH-USD,46146640145,41833072714,1000000000000000
1768308820023934000,ETH-USD,46187428370,41771162176,1000000000000000
1768308822023934000,ETH-USD,39899541077,36024203722,1000000000000000
1768308824023934000,ETH-USD,42649120807,34024191446,1000000000000000
1768308826023934000,ETH-USD,42649120807,37088795814,1000000000000000
1768308828023934000,ETH-USD,46444954475,42190621758,1000000000000000
1768308830023934000,ETH-USD,46148413421,42348765651,1000000000000000
1768308832023934000,ETH-USD,36332756249,42348765651,1000000000000000
1768308834023934000,ETH-USD,36291557915,33887536014,1000000000000000
1768308836023934000,ETH-USD,36291557915,33887536014,1000000000000000
1768308838023934000,ETH-USD,36291557915,33887536014,1000000000000000
1768308840023934000,ETH-USD,36291557915,33337577793,1000000000000000
1768308842023934000,ETH-USD,36786625295,33484467642,1000000000000000
1768308844023934000,ETH-USD,47412420127,33107313216,1000000000000000
1768308846023934000,ETH-USD,47412420127,40440431386,1000000000000000
1768308848023934000,ETH-USD,47412420127,40440431386,1000000000000000
1768308850023934000,ETH-USD,47649038134,40210490563,1000000000000000
1768308852023934000,ETH-USD,47814341809,40124680504,1000000000000000
1768308854023934000,ETH-USD,45886637887,37060076136,1000000000000000
1768308856023934000,ETH-USD,43134057134,35838973410,1000000000000000
1768308858023934000,ETH-USD,43507294982,36480241122,1000000000000000
1768308860023934000,ETH-USD,46594653379,40182255579,1000000000000000
1768308862023934000,ETH-USD,46780666813,41126637678,1000000000000000
1768308864023934000,ETH-USD,46075536622,40786597098,1000000000000000
1768308866023934000,ETH-USD,46645415020,41457300135,1000000000000000
1768308868023934000,ETH-USD,44886835406,41457300135,1000000000000000
1768308870023934000,ETH-USD,45103523174,38929489342,1000000000000000
1768308872023934000,ETH-USD,47932302501,40879959440,1000000000000000
1768308874023934000,ETH-USD,47932302501,41636482124,1000000000000000
1768308876023934000,ETH-USD,47932302501,41636482124,1000000000000000
1768308878023934000,ETH-USD,47932302501,41636482124,1000000000000000
1768308880023934000,ETH-USD,48109620267,41981646617,1000000000000000
1768308882023934000,ETH-USD,48109620267,41225123933,1000000000000000
1768308884023934000,ETH-USD,45737971380,39834439153,1000000000000000
1768308886023934000,ETH-USD,37681983858,36179206685,1000000000000000
1768308888023934000,ETH-USD,43467003228,38620030825,1000000000000000
1768308890023934000,ETH-USD,43467003228,38620030825,1000000000000000
1768308892023934000,ETH-USD,43467003228,41939155825,1000000000000000
1768308894023934000,ETH-USD,47022224478,41528962078,1000000000000000
1768308896023934000,ETH-USD,45930005358,41024166268,1000000000000000
1768308898023934000,ETH-USD,33155044035,30264799987,1000000000000000
1768308900023934000,ETH-USD,33424768983,30113680669,1000000000000000
1768308902023934000,ETH-USD,33424768983,30113680669,1000000000000000
1768308904023934000,ETH-USD,33749627205,30175604635,1000000000000000
1768308906023934000,ETH-USD,33749627205,30175604635,1000000000000000
1768308908023934000,ETH-USD,33749627205,30175604635,1000000000000000
1768308910023934000,ETH-USD,34204129260,30057791569,1000000000000000
1768308912023934000,ETH-USD,30082125523,25923479215,1000000000000000
1768308914023934000,ETH-USD,39209479737,41568635466,1000000000000000
1768308916023934000,ETH-USD,40958528423,42245492750,1000000000000000
1768308918023934000,ETH-USD,35129712939,36506469800,1000000000000000
1768308920023934000,ETH-USD,35875496892,37467034520,1000000000000000
1768308922023934000,ETH-USD,38002030900,38759722831,1000000000000000
1768308924023934000,ETH-USD,43710677226,43843507592,1000000000000000
1768308926023934000,ETH-USD,43514881356,44479819676,1000000000000000
1768308928023934000,ETH-USD,43603929222,43893867530,1000000000000000
1768308930023934000,ETH-USD,43603929222,43893867530,1000000000000000
1768308932023934000,ETH-USD,43603929222,43893867530,1000000000000000
1768308934023934000,ETH-USD,43603929222,43893867530,1000000000000000
1768308936023934000,ETH-USD,43471987512,43887749171,1000000000000000
1768308938023934000,ETH-USD,43515097119,43984051379,1000000000000000
1768308940023934000,ETH-USD,43515097119,43984051379,1000000000000000
1768308942023934000,ETH-USD,42982765566,43666531265,1000000000000000
1768308944023934000,ETH-USD,43607051451,44025323453,1000000000000000
1768308946023934000,ETH-USD,40684733977,42214571525,1000000000000000
1768308948023934000,ETH-USD,40684733977,42214571525,1000000000000000
1768308950023934000,ETH-USD,39244764708,42935817827,1000000000000000
1768308952023934000,ETH-USD,39244764708,46008468013,1000000000000000
1768308954023934000,ETH-USD,41404820328,46008468013,1000000000000000
1768308956023934000,ETH-USD,41458633842,45325354711,1000000000000000
1768308958023934000,ETH-USD,41201198073,46183618150,1000000000000000
1768308960023934000,ETH-USD,41201198073,46183618150,1000000000000000
1768308962023934000,ETH-USD,40799861565,45574413121,1000000000000000
1768308964023934000,ETH-USD,39273854520,43114512236,1000000000000000
1768308966023934000,ETH-USD,40365091261,45455116941,1000000000000000
1768308968023934000,ETH-USD,37269837601,42550845285,1000000000000000
1768308970023934000,ETH-USD,37269837601,42550845285,1000000000000000
1768308972023934000,ETH-USD,41375806239,46659005109,1000000000000000
1768308974023934000,ETH-USD,41498470368,46907490171,1000000000000000
1768308976023934000,ETH-USD,42332922771,47251106187,1000000000000000
1768308978023934000,ETH-USD,42562678800,47604821304,1000000000000000
1768308980023934000,ETH-USD,42562678800,47604821304,1000000000000000
1768308982023934000,ETH-USD,42562678800,44532171118,1000000000000000
1768308984023934000,ETH-USD,42571850758,47491773824,1000000000000000
1768308986023934000,ETH-USD,42571850758,47491773824,1000000000000000
1768308988023934000,ETH-USD,42175548463,47069179607,1000000000000000
1768308990023934000,ETH-USD,41792403952,46491345275,1000000000000000
1768308992023934000,ETH-USD,41792403952,46491345275,1000000000000000
1768308994023934000,ETH-USD,41792403952,46491345275,1000000000000000
1768308996023934000,ETH-USD,41495016838,46222753862,1000000000000000
1768308998023934000,ETH-USD,40983546622,46399301438,1000000000000000
1768309000023934000,ETH-USD,41853742624,46399301438,1000000000000000
1768309002023934000,ETH-USD,41217065827,45992379200,1000000000000000
1768309004023934000,ETH-USD,41730418207,46450640105,1000000000000000
1768309006023934000,ETH-USD,41816817460,46669760255,1000000000000000
1768309008023934000,ETH-USD,41816817460,46669760255,1000000000000000
1768309010023934000,ETH-USD,39751013875,43836292263,1000000000000000
1768309012023934000,ETH-USD,36434762519,40957884839,1000000000000000
1768309014023934000,ETH-USD,31069011976,36781639998,1000000000000000
1768309016023934000,ETH-USD,35108135204,36602532237,1000000000000000
1768309018023934000,ETH-USD,45590960180,41560667431,1000000000000000
1768309020023934000,ETH-USD,44956761668,44036487071,1000000000000000
1768309022023934000,ETH-USD,45745521668,44831507069,1000000000000000
1768309024023934000,ETH-USD,41639553030,33390229075,1000000000000000
1768309026023934000,ETH-USD,31081256224,33390229075,1000000000000000
1768309028023934000,ETH-USD,33683820578,36172453313,1000000000000000
1768309030023934000,ETH-USD,33793305248,36388377017,1000000000000000
1768309032023934000,ETH-USD,33793305248,36388377017,1000000000000000
1768309034023934000,ETH-USD,34102548914,36543618374,1000000000000000
1768309036023934000,ETH-USD,34013047640,36564295889,1000000000000000
1768309038023934000,ETH-USD,45137272356,44070174017,1000000000000000
1768309040023934000,ETH-USD,44842465686,43415385047,1000000000000000
1768309042023934000,ETH-USD,44345427024,43314020465,1000000000000000
1768309044023934000,ETH-USD,45103578417,44191748171,1000000000000000
1768309046023934000,ETH-USD,42364705919,42427914283,1000000000000000
1768309048023934000,ETH-USD,45391686679,42427914283,1000000000000000
1768309050023934000,ETH-USD,44750633398,44981887049,1000000000000000
1768309052023934000,ETH-USD,45100636078,44427934466,1000000000000000
1768309054023934000,ETH-USD,44584828270,45331952297,1000000000000000
1768309056023934000,ETH-USD,44554779133,45277487246,1000000000000000
1768309058023934000,ETH-USD,44554779133,42587226462,1000000000000000
1768309060023934000,ETH-USD,41883298529,42587226462,1000000000000000
1768309062023934000,ETH-USD,45141701423,45681287454,1000000000000000
1768309064023934000,ETH-USD,45141701423,45681287454,1000000000000000
1768309066023934000,ETH-USD,45141701423,45681287454,1000000000000000
1768309068023934000,ETH-USD,45184924385,45561116949,1000000000000000
1768309070023934000,ETH-USD,45305159180,45289429896,1000000000000000
1768309072023934000,ETH-USD,42206248143,45322035546,1000000000000000
1768309074023934000,ETH-USD,43179869406,42927562596,1000000000000000
1768309076023934000,ETH-USD,46024087670,45998754800,1000000000000000
1768309078023934000,ETH-USD,46024087670,45998754800,1000000000000000
1768309080023934000,ETH-USD,42326110416,40184878596,1000000000000000
1768309082023934000,ETH-USD,41086473306,43076568373,1000000000000000
1768309084023934000,ETH-USD,46793073903,46308402015,1000000000000000
1768309086023934000,ETH-USD,46793073903,46308402015,1000000000000000
